개방자치단체코드,관리번호,시도명,시군구명,관리구역명,관리구역대상지역명,배출장소유형,배출장소,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,생활쓰레기배출요일,음식물쓰레기배출요일,재활용품배출요일,생활쓰레기배출시작시각,생활쓰레기배출종료시각,음식물쓰레기배출시작시각,음식물쓰레기배출종료시각,재활용품배출시작시각,재활용품배출종료시각,일시적다량폐기물배출시작시각,일시적다량폐기물배출종료시각,미수거일,관리부서명,관리부서전화번호,데이터기준일자,최종수정시점
3070000,202530700000400021,서울특별시,성북구,19권역,장위3동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,일+화+목,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400008,서울특별시,성북구,6권역,안암동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,일+화+목,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400019,서울특별시,성북구,17권역,장위1동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400010,서울특별시,성북구,8권역,정릉1동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400014,서울특별시,성북구,12권역,길음1동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,월+수+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400007,서울특별시,성북구,5권역,돈암2동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400020,서울특별시,성북구,18권역,장위2동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,월+수+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400001,서울특별시,성북구,1권역,성북동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,월+수+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400017,서울특별시,성북구,15권역,월곡1동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+화+목,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400004,서울특별시,성북구,3권역,동선동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400022,서울특별시,성북구,20권역,석관동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,일+화+목,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400018,서울특별시,성북구,16권역,월곡2동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,월+수+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400016,서울특별시,성북구,14권역,종암동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400002,서울특별시,성북구,1권역,성북동1가,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,일+화+목,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400005,서울특별시,성북구,3권역,동선동4가+동선동5가+동소문동6가+동소문동7가,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400011,서울특별시,성북구,9권역,정릉2동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,월+수+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400009,서울특별시,성북구,7권역,보문동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,월+수+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400015,서울특별시,성북구,13권역,길음2동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,월+수+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400013,서울특별시,성북구,11권역,정릉4동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+화+목,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400003,서울특별시,성북구,2권역,삼선동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,일+화+목,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400006,서울특별시,성북구,4권역,돈암1동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,월+수+금,월+수+금,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3070000,202530700000400012,서울특별시,성북구,10권역,정릉3동,문전수거,"내 집, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물 전용봉투 또는 전용용기에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,미운영,미운영,일+화+목,일+화+목,일+월+화+수+목+금,18:00,20:00,18:00,20:00,18:00,20:00,00:00,00:00,설 명절+추석 명절+공휴일 전날,청소행정과,02-2241-4400,2025-06-25,2025-06-25 16:04:34
3080000,202030800000400001,서울특별시,강북구,강북구전역,강북구전역,문전수거,"내 집 대문 앞, 내 점포 앞, 내 건물앞 또는 자체 지정한 쓰레기 배출장소",생활쓰레기 종량제 봉투,단독주택: 음식물 쓰레기 종량제 봉투공동주택: 전용 용기(납부확인증 부착) 또는 종량기 사용소형음식점: 전용 용기(납부확인증 부착),"(반)투명비닐봉투에 담아 각각 별도 분리배출(*  비닐과 투명 페트병은 목요일날배출    그외 재활용품은 일,월,화,수,금 배출)(* 예외로, 가로변은 배출시작  22:00, 배출종료 02:00)","특수규격봉투(특수마대), 대형폐기물 신고필증","내 집 대문 앞, 내 점포 앞, 내 건물앞 또는 자체 지정한 쓰레기 배출장소",일+화+월+수+목+금,금+목+수+화+월+일,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,23:59,18:00,23:59,토요일 및 공휴일 전일,청소행정과,02-901-6782,2024-07-15,2024-07-15 15:10:47
3100000,202431000000400003,서울특별시,노원구,4권역,"월계1동, 월계2동",거점수거,내집+내점포건물앞+생활폐기물보관대,규격봉투에 넣어 지정된 요일에 배출,용기 용량에 맞는 납부필증 부착 또는 RFID 종량기기에 세대별 카드 사용하여 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,별도안내,별도안내,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,07:00,,,별도안내,자원순환과,02-2116-3808,2024-07-19,2024-07-19 17:20:34
3100000,202431000000400001,서울특별시,노원구,6권역,"공릉2동, 중계본동, 하계1동",거점수거,내집+내점포건물앞+생활폐기물보관대,규격봉투에 넣어 지정된 요일에 배출,용기 용량에 맞는 납부필증 부착 또는 RFID 종량기기에 세대별 카드 사용하여 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,별도안내,별도안내,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,07:00,,,별도안내,자원순환과,02-2116-3808,2024-07-19,2024-07-19 17:20:34
3100000,202431000000400006,서울특별시,노원구,1권역,"상계1동+상계5동(1~14통, 16~31통), 상계8동+상계9동",거점수거,내집+내점포건물앞+생활폐기물보관대,규격봉투에 넣어 지정된 요일에 배출,용기 용량에 맞는 납부필증 부착 또는 RFID 종량기기에 세대별 카드 사용하여 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,별도안내,별도안내,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,07:00,,,별도안내,자원순환과,02-2116-3808,2024-07-19,2024-07-19 17:20:34
3100000,202431000000400005,서울특별시,노원구,2권역,"상계3.4동+상계5동(15통,32~37통), 중계1동, 중계4동",거점수거,내집+내점포건물앞+생활폐기물보관대,규격봉투에 넣어 지정된 요일에 배출,용기 용량에 맞는 납부필증 부착 또는 RFID 종량기기에 세대별 카드 사용하여 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,별도안내,별도안내,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,07:00,,,별도안내,자원순환과,02-2116-3808,2024-07-19,2024-07-19 17:20:34
3100000,202431000000400004,서울특별시,노원구,3권역,"상계2동, 상계6.7동, 상계10동, 중계2.3동",거점수거,내집+내점포건물앞+생활폐기물보관대,규격봉투에 넣어 지정된 요일에 배출,용기 용량에 맞는 납부필증 부착 또는 RFID 종량기기에 세대별 카드 사용하여 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,별도안내,별도안내,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,07:00,,,별도안내,자원순환과,02-2116-3808,2024-07-19,2024-07-19 17:20:34
3100000,202431000000400002,서울특별시,노원구,5권역,"공릉1동, 하계2동, 월계3동",거점수거,내집+내점포건물앞+생활폐기물보관대,규격봉투에 넣어 지정된 요일에 배출,용기 용량에 맞는 납부필증 부착 또는 RFID 종량기기에 세대별 카드 사용하여 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,별도안내,별도안내,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:59,18:00,23:59,18:00,07:00,,,별도안내,자원순환과,02-2116-3808,2024-07-19,2024-07-19 17:20:34
3110000,202131100000400002,서울특별시,은평구,없음,녹번동+불광1동+구산동+대조동+신사2동+증산동+수색동+갈현1동,문전수거,집앞,규격봉투에 넣어 지정된 요일에 일몰 후 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 지정된 요일에 일몰 후 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 일몰 후 배출,청소대행업체 자체 해결,청소대행업체 자체 해결,일+화+목,일+화+목,일+화+목,18:00,2400,18:00,2400,18:00,2400,18:00,2400,설명절+추석명절+근로자의 날,자원순환과,02-351-7565,2021-09-01,2021-09-15 13:08:19
3110000,202131100000400001,서울특별시,은평구,없음,불광2동+갈현2동+응암1동+응암2동+응암3동+역촌동+신사1동+진관동,문전수거,집앞,규격봉투에 넣어 지정된 요일에 일몰 후 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 지정된 요일에 일몰 후 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 일몰 후 배출,청소대행업체 자체 해결,청소대행업체 자체 해결,월+수+금,월+수+금,월+수+금,18:00,2400,18:00,2400,18:00,2400,18:00,2400,설명절+추석명절+근로자의 날,자원순환과,02-351-7565,2021-09-01,2021-09-15 13:08:19
3120000,202131200000400001,서울특별시,서대문구,관내 전지역,관내 전지역,문전수거,내집내점포앞,종량제봉투,종량제봉투-가정용기배출- 음식점RFID-공동주택,종류별 분리배출,해당없음,해당없음,일+월+화+수+목+금,일+월+화+수+목+금,일+월+화+수+목+금,18:00,23:00,18:00,23:00,18:00,23:00,,,토요일,청소행정과,02-330-1463,2024-12-31,2025-05-08 10:31:22
3130000,202231300000400001,서울특별시,마포구,마포구,공덕동+아현동+도화동+용강동+대흥동+염리동+신수동+서강동+서교동+합정동+망원1동+망원2동+연남동+성산1동+성산2동+상암동,문전수거,내 집 혹은 내 점포 앞,쓰레기를 일반(생활)종량제봉투에 담아 내 집 혹은 내 점포 앞에 배출,음식물쓰레기를 물기제거후 음식물종량제봉투에 넣은 후 음식물수거통에 담아 내 집 혹은 내 점포 앞에 배출,재활용품을 투명 혹은 반투명 비닐봉투에 담아 내 집 혹은 내 점포 앞에 배출,-,-,일+월+수+목+화,일+월+화+수+목,목+수+화+월+일,18:00,00:00,18:00,00:00,18:00,00:00,,,금요일+토요일,자원순환과,02-3153-9200,2023-12-29,2023-12-29 13:23:18
3140000,202031400000400002,서울특별시,양천구,2권역,목3동+목5동+신월1동+신월2동+신월4동+신월7동+신정1동+신정4동+신정6동+신정이펜하우스 1~5단지 및 주변상가,문전수거,"내 집 앞, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 규격봉투에 넣어 음식물류폐기물 전용수거용기에 배출 또는 RFID 종량기에 배출,성상별로 분류하여 투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,"5톤미만은 자가처리, 5톤이상은 건설폐기물처리업자와 계약하여 배출","내 집 앞, 내 점포 앞",일+화+목,일+화+목,일+화+목,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,일요일+법정공휴일,청소행정과,02-2620-3420,2025-10-31,2025-11-14 15:59:11
3140000,202031400000400001,서울특별시,양천구,1권역,목1동+목2동+목4동+신월3동+신월5동+신월6동+신정2동+신정3동+신정7동,문전수거,"내 집 앞, 내 점포 앞",규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 규격봉투에 넣어 음식물류폐기물 전용수거용기에 배출 또는 RFID 종량기에 배출,성상별로 분류하여 투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,"5톤미만은 자가처리, 5톤이상은 건설폐기물처리업자와 계약하여 배출","내 집 앞, 내 점포 앞",월+수+금,월+수+금,월+수+금,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,일요일+법정공휴일,청소행정과,02-2620-3420,2025-10-31,2025-11-14 15:58:44
