시도명,시군구명,종량제봉투종류,종량제봉투처리방식,종량제봉투용도,종량제봉투사용대상,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
전북특별자치도,부안군,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,200,350,700,1000,1600,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,부안군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,200,350,700,1000,1600,0,0,0,0,0,전북특별자치도 부안군청,063-580-3913,2026-01-16,4791000,전북특별자치도 부안군
전북특별자치도,진안군,규격봉투+재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,100,200,0,500,0,0,0,0,0,전북특별자치도 진안군청 환경과,063-430-2336,2026-01-28,4731000,전북특별자치도 진안군
충청남도,예산군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,60,100,200,400,600,1000,0,1500,0,0,0,환경과,041-339-7522,2026-01-07,4610000,충청남도 예산군
충청북도,진천군,규격봉투,소각용,생활쓰레기,가정용,0,0,90,0,0,190,340,640,2000,1580,0,2310,0,0,0,식산업자원과,043-539-3464,2026-01-14,4450000,충청북도 진천군
강원특별자치도,강릉시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,100,140,290,560,0,0,0,0,0,0,0,자원순환과,033-640-4528,2026-01-27,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,290,560,0,1350,0,2030,0,0,0,자원순환과,033-640-4528,2026-01-27,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,290,560,0,0,0,0,0,0,0,자원순환과,033-640-4528,2026-01-27,4201000,강원특별자치도 강릉시
강원특별자치도,강릉시,규격봉투,소각용,음식물쓰레기,가정용,0,0,60,0,100,140,290,560,0,0,0,0,0,0,0,자원순환과,033-640-4528,2026-01-27,4201000,강원특별자치도 강릉시
경기도,이천시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,170,330,640,0,1580,0,2360,0,0,0,자원순환과,031-644-2598,2026-01-21,4070000,경기도 이천시
경기도,이천시,규격봉투,매립용,음식물쓰레기,가정용,50,0,0,0,110,180,350,700,0,1750,0,0,0,0,0,자원순환과,031-644-2598,2026-01-21,4070000,경기도 이천시
경기도,구리시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,140,260,510,0,1250,0,1860,0,0,0,자원순환과,031-550-2759,2025-12-19,3980000,경기도 구리시
광주광역시,광산구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,200,380,740,1110,1830,0,2730,0,0,0,청소행정과,062-960-8486,2026-01-29,3630000,광주광역시 광산구
경상북도,경주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,경상북도 경주시청 자원순환과,054-779-6692,2025-08-22,5050000,경상북도 경주시
경상북도,경주시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,180,350,520,0,0,0,0,0,0,경상북도 경주시청 자원순환과,054-779-6692,2025-08-22,5050000,경상북도 경주시
경상북도,경주시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,350,520,850,0,1340,0,0,0,경상북도 경주시청 자원순환과,054-779-6692,2025-08-22,5050000,경상북도 경주시
충청북도,청주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1300,0,3500,0,0,0,0,0,자원정책과,043-201-4666,2025-08-28,5710000,충청북도 청주시
충청북도,청주시,특수규격마대,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,0,0,0,6500,0,0,자원정책과,043-201-4666,2025-08-28,5710000,충청북도 청주시
충청북도,청주시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,310,600,880,0,0,0,0,0,0,자원정책과,043-201-4666,2025-08-28,5710000,충청북도 청주시
충청북도,청주시,규격봉투,소각용,생활쓰레기,가정용,0,0,80,0,0,160,310,600,0,1450,0,2170,0,0,0,자원정책과,043-201-4666,2025-08-28,5710000,충청북도 청주시
경기도,성남시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,340,660,1200,0,0,0,0,0,0,0,자원순환과,031-729-3196,2025-09-01,3780000,경기도 성남시
경기도,성남시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,500,0,0,0,0,0,0,0,자원순환과,031-729-3196,2025-09-01,3780000,경기도 성남시
경기도,성남시,규격봉투,소각용,음식물쓰레기,가정용,20,0,50,0,80,130,250,500,0,0,0,0,0,0,0,자원순환과,031-729-3196,2025-09-01,3780000,경기도 성남시
경기도,성남시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,500,0,1250,0,1880,0,0,0,자원순환과,031-729-3196,2025-09-01,3780000,경기도 성남시
경기도,동두천시,규격봉투,기타,음식물쓰레기,가정용,30,0,50,0,70,120,250,550,0,0,0,0,0,0,0,경기도 동두천시청 환경보호과,031-860-2100,2025-06-28,3920000,경기도 동두천시
강원특별자치도,속초시,재사용규격봉투,소각용,생활쓰레기,가정용/사업용,0,0,0,0,0,0,230,440,0,0,0,0,0,0,0,친환경정책과,033-639-2337,2025-06-25,4231000,강원특별자치도 속초시
강원특별자치도,속초시,규격봉투,소각용,생활쓰레기,가정용/사업용,0,0,0,0,0,110,230,440,610,1050,0,1550,0,0,0,친환경정책과,033-639-2337,2025-06-25,4231000,강원특별자치도 속초시
강원특별자치도,속초시,규격봉투,소각용,음식물쓰레기,가정용/사업용,60,0,0,0,90,110,230,440,0,0,0,0,0,0,0,친환경정책과,033-639-2337,2025-06-25,4231000,강원특별자치도 속초시
부산광역시,동래구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,430,850,0,0,0,0,0,0,0,자원순환과,051-550-4434,2025-05-27,3300000,부산광역시 동래구
부산광역시,동래구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,140,220,430,850,1280,2070,0,3080,0,0,0,자원순환과,051-550-4434,2025-05-27,3300000,부산광역시 동래구
전라남도,나주시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,110,200,380,510,900,0,1270,0,0,0,도시미화과,061-339-8943,2025-05-28,4830000,전라남도 나주시
울산광역시,중구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,600,0,0,0,0,0,0,0,경영사업팀,052-290-7657,2020-07-07,B553013,울산광역시중구도시관리공단
인천광역시,계양구,규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,160,310,0,0,0,0,0,3060,0,0,청결지도팀,032-450-5464,2020-09-01,B551295,인천광역시계양구시설관리공단
광주광역시,서구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,200,380,740,1110,1830,0,2730,0,0,0,청소행정과,062-360-7969,2025-03-04,3600000,광주광역시 서구
서울특별시,마포구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,깨끗한마포과,02-3153-9226,2025-03-04,3130000,서울특별시 마포구
서울특별시,마포구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,490,740,1250,0,1880,0,0,0,깨끗한마포과,02-3153-9226,2025-03-04,3130000,서울특별시 마포구
서울특별시,마포구,규격봉투,매립용,음식물쓰레기,사업장용,0,0,0,0,0,0,1400,2800,0,0,0,0,0,0,0,깨끗한마포과,02-3153-9226,2025-03-04,3130000,서울특별시 마포구
서울특별시,마포구,규격봉투,매립용,음식물쓰레기,가정용,100,0,190,0,300,500,0,0,0,0,0,0,0,0,0,깨끗한마포과,02-3153-9226,2025-03-04,3130000,서울특별시 마포구
서울특별시,마포구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,깨끗한마포과,02-3153-9226,2025-03-04,3130000,서울특별시 마포구
서울특별시,마포구,특수규격마대,기타,생활쓰레기,가정용,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,깨끗한마포과,02-3153-9226,2025-03-04,3130000,서울특별시 마포구
전라남도,목포시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,110,210,400,600,990,0,1470,0,0,0,자원순환과,061-270-8561,2025-03-07,4800000,전라남도 목포시
경상남도,남해군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,100,200,400,0,1000,0,0,0,0,0,경상남도 남해군청 환경과,055-860-3263,2025-03-10,5430000,경상남도 남해군
부산광역시,남구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,430,850,1280,2890,0,0,0,0,0,자원순환과,051-607-4435,2025-03-10,3310000,부산광역시 남구
부산광역시,남구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,1670,2710,0,4040,0,0,0,자원순환과,051-607-4435,2025-03-10,3310000,부산광역시 남구
부산광역시,남구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,340,680,0,0,0,0,0,0,0,자원순환과,051-607-4435,2025-03-10,3310000,부산광역시 남구
부산광역시,남구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,120,180,340,680,1020,1670,0,2490,0,0,0,자원순환과,051-607-4435,2025-03-10,3310000,부산광역시 남구
강원특별자치도,화천군,규격봉투,매립용,생활쓰레기,기타,0,0,0,0,0,0,0,0,0,2460,0,0,0,0,0,환경과,033-440-2326,2025-03-13,4311000,강원특별자치도 화천군
강원특별자치도,화천군,규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,0,0,0,0,2460,0,0,0,0,0,환경과,033-440-2326,2025-03-13,4311000,강원특별자치도 화천군
강원특별자치도,화천군,규격봉투,기타,생활쓰레기,가정용,0,0,0,0,0,0,120,230,0,0,0,0,0,0,0,환경과,033-440-2326,2025-03-13,4311000,강원특별자치도 화천군
강원특별자치도,화천군,규격봉투,기타,음식물쓰레기,가정용,0,0,50,0,60,70,120,230,0,0,0,0,0,0,0,환경과,033-440-2326,2025-03-13,4311000,강원특별자치도 화천군
강원특별자치도,화천군,규격봉투,매립용,생활쓰레기,가정용,0,0,50,0,60,70,120,230,350,560,0,790,0,0,0,환경과,033-440-2326,2025-03-13,4311000,강원특별자치도 화천군
강원특별자치도,화천군,규격봉투,소각용,생활쓰레기,가정용,0,0,50,0,60,70,120,230,350,560,0,790,0,0,0,환경과,033-440-2326,2025-03-13,4311000,강원특별자치도 화천군
부산광역시,수영구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,2270,0,3380,0,0,0,자원순환과,051-610-4437,2025-08-26,3380000,부산광역시 수영구
부산광역시,수영구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,2400,3600,0,0,0,0,0,0,자원순환과,051-610-4437,2025-08-26,3380000,부산광역시 수영구
부산광역시,수영구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,430,850,1280,0,0,0,0,0,0,자원순환과,051-610-4437,2025-08-26,3380000,부산광역시 수영구
부산광역시,수영구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,220,430,850,0,0,0,0,0,0,0,자원순환과,051-610-4437,2025-08-26,3380000,부산광역시 수영구
부산광역시,수영구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,140,220,430,850,1280,2070,0,3080,0,0,0,자원순환과,051-610-4437,2025-08-26,3380000,부산광역시 수영구
강원특별자치도,동해시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,150,290,560,0,1350,0,2100,0,0,0,환경과,033-530-2373,2025-08-26,4211000,강원특별자치도 동해시
충청북도,보은군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,80,140,270,0,650,0,1000,1300,0,0,환경위생과,043-540-3265,2024-11-30,4420000,충청북도 보은군
울산광역시,중구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,600,0,1490,0,2220,0,0,0,환경미화과,052-290-3760,2024-11-29,3690000,울산광역시 중구
경기도,과천시,규격봉투,소각용,음식물쓰레기,가정용,30,0,60,0,70,120,230,440,0,1100,0,0,0,0,0,자원위생과,02-3677-2416,2025-06-26,3970000,경기도 과천시
경기도,과천시,규격봉투,소각용,생활쓰레기,가정용,0,0,60,0,70,120,230,440,0,1100,0,1650,0,0,0,자원위생과,02-3677-2416,2025-06-26,3970000,경기도 과천시
전라남도,장흥군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,240,460,0,1100,0,0,0,0,0,환경관리과,061-860-6056,2025-06-23,4910000,전라남도 장흥군
강원특별자치도,인제군,규격봉투,매립용,생활쓰레기,가정용,0,0,40,0,60,90,150,300,0,740,0,1100,0,1700,0,환경보호과,033-460-4459,2024-12-13,4331000,강원특별자치도 인제군
경기도,포천시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,280,560,840,0,0,0,0,0,0,경기도 포천시청 친환경정책과,031-538-3253,2024-11-14,5600000,경기도 포천시
경기도,포천시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,280,560,840,1400,0,2100,0,0,0,경기도 포천시청 친환경정책과,031-538-3253,2024-11-14,5600000,경기도 포천시
서울특별시,양천구,특수규격마대,기타,생활쓰레기,가정용,0,0,0,0,0,0,1020,2040,0,5100,0,0,0,0,0,서울특별시 양천구청 청소행정과,02-2620-3420,2024-10-01,3140000,서울특별시 양천구
서울특별시,양천구,규격봉투,기타,음식물쓰레기,가정용,100,0,190,0,300,500,1000,2000,0,0,0,0,0,0,0,서울특별시 양천구청 청소행정과,02-2620-3420,2024-10-01,3140000,서울특별시 양천구
서울특별시,양천구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,490,740,1250,0,1880,0,0,0,서울특별시 양천구청 청소행정과,02-2620-3420,2024-10-01,3140000,서울특별시 양천구
전라남도,담양군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,310,0,900,0,1350,0,0,0,환경과,061-380-3073,2024-11-14,4850000,전라남도 담양군
경기도,용인시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,170,330,660,0,0,0,0,0,0,0,자원순환과,031-6193-2332,2025-11-19,4050000,경기도 용인시
경기도,용인시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,170,330,660,0,1800,0,2700,0,0,0,자원순환과,031-6193-2332,2025-11-19,4050000,경기도 용인시
서울특별시,중구,규격봉투,소각용,음식물쓰레기,가정용,100,0,200,0,300,500,0,0,0,0,0,0,0,0,0,청소행정과,02-3396-5485,2025-11-17,3010000,서울특별시 중구
서울특별시,중구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,청소행정과,02-3396-5485,2025-11-17,3010000,서울특별시 중구
서울특별시,중구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,청소행정과,02-3396-5485,2025-11-17,3010000,서울특별시 중구
서울특별시,중구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,740,1250,0,1880,0,0,0,청소행정과,02-3396-5485,2025-11-17,3010000,서울특별시 중구
충청남도,금산군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,60,110,210,0,500,0,750,1000,0,0,환경위생과,041-750-2504,2025-11-18,4550000,충청남도 금산군
충청남도,청양군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,2000,0,5000,0,0,0,0,0,충청남도 청양군청 환경정책과,041-940-2254,2025-11-20,4590000,충청남도 청양군
충청남도,청양군,규격봉투,기타,음식물쓰레기,가정용,0,0,0,0,0,100,200,400,0,0,0,0,0,0,0,충청남도 청양군청 환경정책과,041-940-2254,2025-11-20,4590000,충청남도 청양군
충청남도,청양군,규격봉투,기타,생활쓰레기,가정용,0,0,0,0,0,0,200,400,0,0,0,0,0,0,0,충청남도 청양군청 환경정책과,041-940-2254,2025-11-20,4590000,충청남도 청양군
충청남도,청양군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,200,400,600,1000,0,1300,0,0,0,충청남도 청양군청 환경정책과,041-940-2254,2025-11-20,4590000,충청남도 청양군
인천광역시,강화군,규격봉투,기타,음식물쓰레기,가정용,0,0,120,0,180,300,600,0,0,0,0,0,0,0,0,환경위생과,032-930-3336,2025-11-20,3570000,인천광역시 강화군
인천광역시,강화군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,0,0,0,0,환경위생과,032-930-3336,2025-11-20,3570000,인천광역시 강화군
인천광역시,강화군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,2780,0,0,0,환경위생과,032-930-3336,2025-11-20,3570000,인천광역시 강화군
강원특별자치도,원주시,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,1200,0,2600,0,3800,0,0,0,자원순환과,033-737-3082,2025-11-25,4191000,강원특별자치도 원주시
강원특별자치도,원주시,재사용규격봉투,기타,생활쓰레기,가정용,0,0,0,0,0,170,320,680,0,0,0,0,0,0,0,자원순환과,033-737-3082,2025-11-25,4191000,강원특별자치도 원주시
강원특별자치도,원주시,규격봉투,기타,음식물쓰레기,가정용,0,0,80,0,100,170,320,680,0,1690,0,0,0,0,0,자원순환과,033-737-3082,2025-11-25,4191000,강원특별자치도 원주시
강원특별자치도,원주시,규격봉투,기타,생활쓰레기,가정용,0,0,0,0,100,170,320,680,0,1690,0,2500,0,0,0,자원순환과,033-737-3082,2025-11-25,4191000,강원특별자치도 원주시
대구광역시,서구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,180,340,670,0,0,0,0,0,0,0,생활환경과,053-663-2717,2025-07-17,3430000,대구광역시 서구
서울특별시,강남구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,자원순환과,02-3423-5984,2025-08-18,3220000,서울특별시 강남구
서울특별시,강남구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,490,740,1250,0,0,0,0,0,자원순환과,02-3423-5984,2025-08-18,3220000,서울특별시 강남구
서울특별시,동대문구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,1020,2040,0,0,0,0,0,0,0,청소행정과,02-2127-4725,2025-06-23,3050000,서울특별시 동대문구
서울특별시,동대문구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,청소행정과,02-2127-4725,2025-06-23,3050000,서울특별시 동대문구
서울특별시,동대문구,규격봉투,소각용,음식물쓰레기,가정용,100,0,190,0,300,500,1000,0,0,0,0,0,0,0,0,청소행정과,02-2127-4725,2025-06-23,3050000,서울특별시 동대문구
서울특별시,동대문구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,490,740,1250,0,1880,0,0,0,청소행정과,02-2127-4725,2025-06-23,3050000,서울특별시 동대문구
강원특별자치도,속초시,특수규격마대,매립용,생활쓰레기,가정용/사업용,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,친환경정책과,033-639-2337,2025-06-25,4231000,강원특별자치도 속초시
울산광역시,중구,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,2160,3480,0,0,0,0,0,경영사업팀,052-290-7657,2020-07-07,B553013,울산광역시중구도시관리공단
울산광역시,중구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1490,0,0,2960,0,0,경영사업팀,052-290-7657,2020-07-07,B553013,울산광역시중구도시관리공단
울산광역시,울주군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,600,0,1490,0,2220,0,0,0,자원위생과,052-204-2146,2024-08-01,3730000,울산광역시 울주군
강원특별자치도,철원군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,190,400,0,970,0,1460,1950,0,0,청정환경과,033-450-5335,2024-12-06,4301000,강원특별자치도 철원군
경기도,광주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1600,0,4000,0,0,0,0,0,자원순환과,031-760-4688,2024-12-01,5540000,경기도 광주시
경기도,광주시,재사용규격봉투,소각용+매립용,생활쓰레기,가정용,0,0,0,0,0,0,280,560,0,0,0,0,0,0,0,자원순환과,031-760-4688,2024-12-01,5540000,경기도 광주시
경기도,광주시,규격봉투,기타,음식물쓰레기,가정용,0,40,0,0,80,140,280,560,0,0,0,0,0,0,0,자원순환과,031-760-4688,2024-12-01,5540000,경기도 광주시
